"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","He","She","Other","OtherType","Response","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"158","first",2,4.34,"Riley","Riley",NA,0,1,0,"","she stepped outside for fresh air.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"159","first",2,4.39,"Jessie","Jessie",NA,0,1,0,"","she started to sing along.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"160","first",2,4.73,"Kerry","Kerry",NA,0,1,0,"","she decide to start walking.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"161","first",2,5.22,"Blair","Blair",NA,1,0,0,"","he started to fall asleep.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"162","first",2,5.34,"Jackie","Jackie",NA,0,1,0,"","she decided to take some lessons.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"163","first",2,5.59,"Jodie","Jodie",NA,0,1,0,"","she changed back into her clothes.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"164","first",2,5.86,"Elisha","Elisha",NA,0,1,0,"","she checked her text messages.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"165","first",2,6.24,"Ashley","Ashley",NA,0,1,0,"","she waited patiently for a callback.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"166","first",2,6.73,"Mary","Mary",NA,1,0,0,"","he had a chat with an older woman.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"167","first",2,6.78,"Rebecca","Rebecca",NA,0,1,0,"","she turned on the evening news.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"168","first",2,6.82,"Emily","Emily",NA,0,1,0,"","she lit up a cigarette.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"169","first",1,1.21,"Matthew","Matthew",NA,1,0,0,"","he got dressed and brushed his teeth.","R_1GwdxRc55a3xS1T","female","55 - 64","White","2 year degree"
"170","first",1,1.24,"Brian","Brian",NA,1,0,0,"","he took a shower and went to bed.","R_1GwdxRc55a3xS1T","female","55 - 64","White","2 year degree"
